db	filename	description	dir
Zc	"Brandmaster.mdb"	"Zc brand and resight database"	"J:/Master"
Cu	"cutagnew.mdb"	"Cu tag and resight database"	"J:/Master"
Ej	"Ej-Brand-Resight-Database.accdb"	"Ej brand/tag and resight database"	"J:/Master"
Pv	"PvObservations.mdb"	"Pv tag/brand and resight database"	"J:/Master"
ZcPS	"WaCapture.Resights.mdb"	"Zc Puget Sound brand/tag and resight database"	"J:/Master"
CIPCensus	"CIPinnipedCensusMaster.mdb"	"Channel Islands Pinniped Census database"	"J:/Master"
CIPquery	"CIPinnipedCensusQuery.mdb"	"Channel Islands Pinniped Census query database"	"J:"
Hookworm	"HookwormTrtmntExpt.mdb"	"Hookworm Treatment experiment at SMI"	"J:/Master"
ZcWean	"Weaning&SurvivalStudy.mdb"	"Weaning and brand evaluation database"	"J:/Master"
SMIScat	"SMIScat.mdb"	"SMI Scat database"	"J:/Master"
WaOrPp	"WaOrCetaceanAerialSurvey.mdb"	"WA/OR aerial survey data"	"J:/Master"
VesselPp	"InlandSmallBoatSuvey02&03.mdb"	"WA inland waters vessel survey"	"J:/Master"
Environ	"environmental.data.mdb"	"Environmental data for pinnipeds in Channel Islands"	"J:/Master"
